id,hotel_name,city,phone,email,website,status,date_discovered,audit_notes
usa-hotel-001,Baymont Inn and Suites,Austin,+1-512-222-5692,,,invalid_no_email,2026-09-09,No website / OTA dependent
usa-hotel-002,Omni Hotel & Resorts,Austin,+1 512-476-3700,,,invalid_no_email,2026-09-09,No website / OTA dependent
usa-hotel-003,1 Hotel Austin,Austin,+1-737-415-9800,,https://www.1hotels.com/austin,invalid_no_email,2026-09-09,Has website
usa-hotel-004,Hotel Indigo Austin Downtown - University,Austin,+1 512 4811000,hotelindigoatx@gmail.com,https://www.ihg.com/hotelindigo/hotels/us/en/austin/ausit/hoteldetail,sent,2026-09-09,Has website
usa-hotel-005,Corporate Lodging - Austin,Austin,+1 (512) 478-4500,downtownaustin@placemakr.com,,sent,2026-09-09,No website / OTA dependent
usa-hotel-006,WorldMark Austin,Austin,,discoveryteam@wyn.com,,sent,2026-09-09,No website / OTA dependent
usa-hotel-007,The Loren at Lady Bird Lake,Austin,+1-512-580-1182,atx.concierge@thelorenhotel.com,https://www.thelorenhotels.com/austin/,sent,2026-09-09,Has website
usa-hotel-008,Habitat Suites,Austin,,info@habitatsuites.com,,sent,2026-09-09,No website / OTA dependent
usa-hotel-009,Austin Proper Hotel,Austin,+1-512-628-1500,ATXP.info@properhotel.com,https://www.properhotel.com/austin/,sent,2026-09-09,Has website
usa-hotel-010,Home2 Suites by Hilton Pflugerville,Austin,+1 737-610-5151,EmailAUSPF_home2@hilton.com,https://www.hilton.com/en/hotels/auspfht-home2-suites-pflugerville/,sent,2026-09-09,Has website
usa-hotel-011,Tru by Hilton Pflugerville,Austin,+1 737-610-5100,EmailAUSPV_TRU@hilton.com,,sent,2026-09-09,No website / OTA dependent
usa-hotel-012,Camp Mabry Lodging,Austin,,campmabrylodging@military.texas.gov,,sent,2026-09-09,No website / OTA dependent
usa-hotel-013,Tru,Austin,+1 512-385-0200,EmailAUSBW_TRU@hilton.com,,sent,2026-09-09,No website / OTA dependent
usa-hotel-014,Element North Austin Tech Ridge,Austin,+1737-367-0001,,https://www.marriott.com/ausau,invalid_no_email,2026-09-09,Has website
usa-hotel-015,Woodspring Suites Round Rock-Austin North,Austin,+1-512-436-0982,aus78753@woodspring.com,https://www.woodspring.com,sent,2026-09-09,Has website
usa-hotel-016,Hilton Austin,Austin,+1-512-482-8000,AUSCV_GM@hilton.com,https://www.hilton.com/en/hotels/auscvhh-hilton-austin/,sent,2026-09-09,Has website
usa-hotel-017,Holiday Inn Express & Suites,Austin,+1-512-249-8166,hiexpress.nwaustin@gmail.com,https://www.ihg.com/holidayinnexpress/hotels/us/en/austin/austx/hoteldetail,sent,2026-09-09,Has website
usa-hotel-018,HomeTowne Studios Austin West,Austin,,,,invalid_no_email,2026-09-09,No website / OTA dependent
